timestamp,action,token_id,fee0,fee1,pnl0,pnl1,cum_fee0,cum_fee1,cum_pnl0,cum_pnl1,price_non_usdc,price_reward_token,fee_usd,pnl_usd,cum_fee_usd,cum_pnl_usd,reward,reward_usd,cum_reward,cum_reward_usd,earning_profit_usd,total_profit_usd,cum_earning_profit_usd,cum_total_profit_usd,inpos0,inpos1,inpos_usd
2025-09-05T14:20:15+00:00,burn,24706500,0,0,-1002.477488,0.0089187,5.823364,0.00004779,235.75883,-0.00206434,114057.17,1.01248,0,14.76,11.27,0.3061,0,0,0,0,0,14.76,11.27,11.58,0,0,0
2025-09-05T14:20:15+00:00,collect,24706500,3.813416,0.00003688,0,0,9.63678,0.00008467,235.75883,-0.00206434,114057.17,1.01248,8.02,0,19.29,0.3061,0,0,0,0,8.02,8.02,19.29,19.6,0,0,0
2025-09-05T14:40:23+00:00,mint,24737600,0,0,0,0,9.63678,0.00008467,235.75883,-0.00206434,114057.17,1.01248,0,0,19.29,0.3061,0,0,0,0,0,0,19.29,19.6,974.458314,0.008731,1970.29
2025-09-08T09:10:11+00:00,burn,24737600,0,0,971.619127,-0.008731,9.63678,0.00008467,1207.377957,-0.01079534,114057.17,1.01248,0,-24.21,19.29,-23.91,0,0,0,0,0,-24.21,19.29,-4.61,0,0,0
2025-09-08T09:10:11+00:00,collect,24737600,8.597138,0.00007427,0,0,18.233918,0.00015894,1207.377957,-0.01079534,114057.17,1.01248,17.07,0,36.36,-23.91,0,0,0,0,17.07,17.07,36.36,12.45,0,0,0
2025-09-08T09:10:29+00:00,mint,24962130,0,0,0,0,18.233918,0.00015894,1207.377957,-0.01079534,114057.17,1.01248,0,0,36.36,-23.91,0,0,0,0,0,0,36.36,12.45,1019.381456,0.00877728,2020.49
2025-09-09T06:50:07+00:00,burn,24962130,0,0,955.180732,-0.00849859,18.233918,0.00015894,2162.558689,-0.01929393,114057.17,1.01248,0,-14.14,36.36,-38.05,0,0,0,0,0,-14.14,36.36,-1.69,0,0,0
2025-09-09T06:50:07+00:00,collect,24962130,4.376201,0.00003579,0,0,22.610119,0.00019473,2162.558689,-0.01929393,114057.17,1.01248,8.46,0,44.82,-38.05,0,0,0,0,8.46,8.46,44.82,6.77,0,0,0
2025-09-09T06:50:31+00:00,mint,25056967,0,0,0,0,22.610119,0.00019473,2162.558689,-0.01929393,114057.17,1.01248,0,0,44.82,-38.05,0,0,0,0,0,0,44.82,6.77,968.649223,0.00886754,1980.06
2025-09-09T14:40:09+00:00,burn,25056967,0,0,-968.649223,0.00861859,22.610119,0.00019473,1193.909466,-0.01067534,114057.17,1.01248,0,14.36,44.82,-23.69,0,0,0,0,0,14.36,44.82,21.13,0,0,0
2025-09-09T14:40:09+00:00,collect,25056967,1.912054,0.00001983,0,0,24.522173,0.00021456,1193.909466,-0.01067534,114057.17,1.01248,4.17,0,48.99,-23.69,0,0,0,0,4.17,4.17,48.99,25.3,0,0,0
2025-09-09T14:40:23+00:00,mint,25090218,0,0,0,0,24.522173,0.00021456,1193.909466,-0.01067534,114057.17,1.01248,0,0,48.99,-23.69,0,0,0,0,0,0,48.99,25.3,973.775132,0.00900424,2000.77
2025-09-10T12:40:09+00:00,burn,25090218,0,0,1011.991581,-0.00900424,24.522173,0.00021456,2205.901047,-0.01967958,114057.17,1.01248,0,-15.01,48.99,-38.7,0,0,0,0,0,-15.01,48.99,10.3,0,0,0
2025-09-10T12:40:09+00:00,collect,25090218,3.801349,0.00003096,0,0,28.323522,0.00024552,2205.901047,-0.01967958,114057.17,1.01248,7.33,0,56.33,-38.7,0,0,0,0,7.33,7.33,56.33,17.63,0,0,0
2025-09-10T13:20:23+00:00,mint,25173740,0,0,0,0,28.323522,0.00024552,2205.901047,-0.01967958,114057.17,1.01248,0,0,56.33,-38.7,0,0,0,0,0,0,56.33,17.63,1139.287087,0.00723887,1964.93
